model,variable,coef,se,pvalue,n,r2,adj_r2
Col1_age_univar,Intercept,89.2249,5.8278,0.0,1126,0.0188,0.0179
Col1_age_univar,age,-0.3735,0.0805,0.0,1126,0.0188,0.0179
Col2_agecat_univar,Intercept,65.572,1.3773,0.0,1126,0.0231,0.0179
Col2_agecat_univar,age_65-69,-2.6451,2.0766,0.203,1126,0.0231,0.0179
Col2_agecat_univar,age_70-74,-2.8437,1.9386,0.1427,1126,0.0231,0.0179
Col2_agecat_univar,age_75-79,-2.4456,2.1188,0.2486,1126,0.0231,0.0179
Col2_agecat_univar,age_80-84,-6.4946,2.656,0.0146,1126,0.0231,0.0179
Col2_agecat_univar,age_85-89,-8.8101,2.9152,0.0026,1126,0.0231,0.0179
Col2_agecat_univar,age_90+,-17.8041,4.1677,0.0,1126,0.0231,0.0179
Col3_age_controls,Intercept,74.5634,5.9528,0.0,1126,0.1744,0.1655
Col3_age_controls,educ_lt_hs,-5.7352,1.8244,0.0017,1126,0.1744,0.1655
Col3_age_controls,educ_some_college,3.5447,1.6468,0.0316,1126,0.1744,0.1655
Col3_age_controls,educ_college_plus,7.1065,1.784,0.0001,1126,0.1744,0.1655
Col3_age_controls,age,-0.3569,0.079,0.0,1126,0.1744,0.1655
Col3_age_controls,male,6.9089,1.2896,0.0,1126,0.1744,0.1655
Col3_age_controls,white,5.8261,1.5349,0.0002,1126,0.1744,0.1655
Col3_age_controls,married,-0.9703,1.4703,0.5095,1126,0.1744,0.1655
Col3_age_controls,homeowner,3.0672,1.6731,0.067,1126,0.1744,0.1655
Col3_age_controls,stock_owner,5.0197,1.6082,0.0018,1126,0.1744,0.1655
Col3_age_controls,tax_sheltered,3.7243,1.4427,0.01,1126,0.1744,0.1655
Col3_age_controls,high_income,1.7946,1.7635,0.3091,1126,0.1744,0.1655
Col3_age_controls,high_wealth,-1.7176,1.763,0.3302,1126,0.1744,0.1655
Col4_agecat_controls,Intercept,51.7466,2.2721,0.0,1126,0.1769,0.1643
Col4_agecat_controls,age_65-69,-1.5454,1.9428,0.4265,1126,0.1769,0.1643
Col4_agecat_controls,age_70-74,-1.6347,1.8415,0.3749,1126,0.1769,0.1643
Col4_agecat_controls,age_75-79,-1.8932,2.0347,0.3524,1126,0.1769,0.1643
Col4_agecat_controls,age_80-84,-7.0798,2.5111,0.0049,1126,0.1769,0.1643
Col4_agecat_controls,age_85-89,-8.8024,2.7696,0.0015,1126,0.1769,0.1643
Col4_agecat_controls,age_90+,-13.4633,3.9837,0.0008,1126,0.1769,0.1643
Col4_agecat_controls,educ_lt_hs,-5.6325,1.8306,0.0021,1126,0.1769,0.1643
Col4_agecat_controls,educ_some_college,3.8092,1.6547,0.0215,1126,0.1769,0.1643
Col4_agecat_controls,educ_college_plus,7.6362,1.8059,0.0,1126,0.1769,0.1643
Col4_agecat_controls,male,6.8005,1.2924,0.0,1126,0.1769,0.1643
Col4_agecat_controls,white,5.6875,1.536,0.0002,1126,0.1769,0.1643
Col4_agecat_controls,married,-1.0047,1.4752,0.496,1126,0.1769,0.1643
Col4_agecat_controls,homeowner,2.7312,1.6856,0.1054,1126,0.1769,0.1643
Col4_agecat_controls,stock_owner,5.0264,1.612,0.0019,1126,0.1769,0.1643
Col4_agecat_controls,tax_sheltered,3.4807,1.4524,0.0167,1126,0.1769,0.1643
Col4_agecat_controls,high_income,2.2072,1.7767,0.2144,1126,0.1769,0.1643
Col4_agecat_controls,high_wealth,-1.8789,1.7696,0.2886,1126,0.1769,0.1643
Col5_age_cog,Intercept,62.1905,9.0246,0.0,907,0.1769,0.164
Col5_age_cog,educ_lt_hs,-4.1258,2.0204,0.0414,907,0.1769,0.164
Col5_age_cog,educ_some_college,1.9591,1.864,0.2935,907,0.1769,0.164
Col5_age_cog,educ_college_plus,5.1162,2.1089,0.0155,907,0.1769,0.164
Col5_age_cog,age,-0.2997,0.106,0.0048,907,0.1769,0.164
Col5_age_cog,word_recall,0.2803,0.2332,0.2296,907,0.1769,0.164
Col5_age_cog,vocabulary,1.2452,0.3858,0.0013,907,0.1769,0.164
Col5_age_cog,male,8.0076,1.4913,0.0,907,0.1769,0.164
Col5_age_cog,white,4.3828,1.7707,0.0135,907,0.1769,0.164
Col5_age_cog,married,-1.2136,1.6621,0.4655,907,0.1769,0.164
Col5_age_cog,homeowner,2.8695,1.8675,0.1248,907,0.1769,0.164
Col5_age_cog,stock_owner,4.3538,1.789,0.0151,907,0.1769,0.164
Col5_age_cog,tax_sheltered,4.0422,1.6443,0.0141,907,0.1769,0.164
Col5_age_cog,high_income,1.6767,2.0987,0.4246,907,0.1769,0.164
Col5_age_cog,high_wealth,-1.4419,1.9969,0.4704,907,0.1769,0.164
Col6_agecat_cog,Intercept,41.437,4.4339,0.0,907,0.1813,0.1638
Col6_agecat_cog,age_65-69,0.918,3.5545,0.7963,907,0.1813,0.1638
Col6_agecat_cog,age_70-74,0.6973,3.4818,0.8413,907,0.1813,0.1638
Col6_agecat_cog,age_75-79,0.7511,3.6248,0.8359,907,0.1813,0.1638
Col6_agecat_cog,age_80-84,-4.134,3.9218,0.2921,907,0.1813,0.1638
Col6_agecat_cog,age_85-89,-5.0565,4.1685,0.2254,907,0.1813,0.1638
Col6_agecat_cog,age_90+,-9.7545,5.0795,0.0551,907,0.1813,0.1638
Col6_agecat_cog,educ_lt_hs,-4.105,2.0293,0.0434,907,0.1813,0.1638
Col6_agecat_cog,educ_some_college,2.1548,1.8688,0.2492,907,0.1813,0.1638
Col6_agecat_cog,educ_college_plus,5.5405,2.1275,0.0094,907,0.1813,0.1638
Col6_agecat_cog,word_recall,0.2256,0.2357,0.3386,907,0.1813,0.1638
Col6_agecat_cog,vocabulary,1.2641,0.386,0.0011,907,0.1813,0.1638
Col6_agecat_cog,male,7.9637,1.4964,0.0,907,0.1813,0.1638
Col6_agecat_cog,white,4.0417,1.79,0.0242,907,0.1813,0.1638
Col6_agecat_cog,married,-1.2847,1.6653,0.4406,907,0.1813,0.1638
Col6_agecat_cog,homeowner,2.4779,1.8844,0.1889,907,0.1813,0.1638
Col6_agecat_cog,stock_owner,4.4955,1.7936,0.0124,907,0.1813,0.1638
Col6_agecat_cog,tax_sheltered,3.8262,1.6532,0.0209,907,0.1813,0.1638
Col6_agecat_cog,high_income,2.0073,2.1162,0.3431,907,0.1813,0.1638
Col6_agecat_cog,high_wealth,-1.5704,2.0028,0.4332,907,0.1813,0.1638
