,coef,coef,coef,coef,coef,coef,pvalue,pvalue,pvalue,pvalue,pvalue,pvalue,se,se,se,se,se,se
model,Col1_age_univar,Col2_agecat_univar,Col3_age_controls,Col4_agecat_controls,Col5_age_cog,Col6_agecat_cog,Col1_age_univar,Col2_agecat_univar,Col3_age_controls,Col4_agecat_controls,Col5_age_cog,Col6_agecat_cog,Col1_age_univar,Col2_agecat_univar,Col3_age_controls,Col4_agecat_controls,Col5_age_cog,Col6_agecat_cog
variable,,,,,,,,,,,,,,,,,,
Intercept,89.2249,65.572,74.5634,51.7466,62.1905,41.437,0.0,0.0,0.0,0.0,0.0,0.0,5.8278,1.3773,5.9528,2.2721,9.0246,4.4339
age,-0.3735,,-0.3569,,-0.2997,,0.0,,0.0,,0.0048,,0.0805,,0.079,,0.106,
age_65-69,,-2.6451,,-1.5454,,0.918,,0.203,,0.4265,,0.7963,,2.0766,,1.9428,,3.5545
age_70-74,,-2.8437,,-1.6347,,0.6973,,0.1427,,0.3749,,0.8413,,1.9386,,1.8415,,3.4818
age_75-79,,-2.4456,,-1.8932,,0.7511,,0.2486,,0.3524,,0.8359,,2.1188,,2.0347,,3.6248
age_80-84,,-6.4946,,-7.0798,,-4.134,,0.0146,,0.0049,,0.2921,,2.656,,2.5111,,3.9218
age_85-89,,-8.8101,,-8.8024,,-5.0565,,0.0026,,0.0015,,0.2254,,2.9152,,2.7696,,4.1685
age_90+,,-17.8041,,-13.4633,,-9.7545,,0.0,,0.0008,,0.0551,,4.1677,,3.9837,,5.0795
educ_college_plus,,,7.1065,7.6362,5.1162,5.5405,,,0.0001,0.0,0.0155,0.0094,,,1.784,1.8059,2.1089,2.1275
educ_lt_hs,,,-5.7352,-5.6325,-4.1258,-4.105,,,0.0017,0.0021,0.0414,0.0434,,,1.8244,1.8306,2.0204,2.0293
educ_some_college,,,3.5447,3.8092,1.9591,2.1548,,,0.0316,0.0215,0.2935,0.2492,,,1.6468,1.6547,1.864,1.8688
high_income,,,1.7946,2.2072,1.6767,2.0073,,,0.3091,0.2144,0.4246,0.3431,,,1.7635,1.7767,2.0987,2.1162
high_wealth,,,-1.7176,-1.8789,-1.4419,-1.5704,,,0.3302,0.2886,0.4704,0.4332,,,1.763,1.7696,1.9969,2.0028
homeowner,,,3.0672,2.7312,2.8695,2.4779,,,0.067,0.1054,0.1248,0.1889,,,1.6731,1.6856,1.8675,1.8844
male,,,6.9089,6.8005,8.0076,7.9637,,,0.0,0.0,0.0,0.0,,,1.2896,1.2924,1.4913,1.4964
married,,,-0.9703,-1.0047,-1.2136,-1.2847,,,0.5095,0.496,0.4655,0.4406,,,1.4703,1.4752,1.6621,1.6653
stock_owner,,,5.0197,5.0264,4.3538,4.4955,,,0.0018,0.0019,0.0151,0.0124,,,1.6082,1.612,1.789,1.7936
tax_sheltered,,,3.7243,3.4807,4.0422,3.8262,,,0.01,0.0167,0.0141,0.0209,,,1.4427,1.4524,1.6443,1.6532
vocabulary,,,,,1.2452,1.2641,,,,,0.0013,0.0011,,,,,0.3858,0.386
white,,,5.8261,5.6875,4.3828,4.0417,,,0.0002,0.0002,0.0135,0.0242,,,1.5349,1.536,1.7707,1.79
word_recall,,,,,0.2803,0.2256,,,,,0.2296,0.3386,,,,,0.2332,0.2357
